BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BRONX,10461.0,40.84301,-73.83877,"(40.84301, -73.83877)",,,1250      WATERS PLACE                  ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4293590,Station Wagon/Sport Utility Vehicle,Sedan,,,,1582540500
QUEENS,11361.0,40.75409,-73.78114,"(40.75409, -73.78114)",FRANCIS LEWIS BOULEVARD,46 ROAD,,1,0,1,0,0,0,0,0,Unspecified,,,,,4480841,Sedan,,,,,1637871180
BROOKLYN,11204.0,40.620914,-73.9753,"(40.620914, -73.9753)",MC DONALD AVENUE                ,BAY PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4295866,Sedan,Van,,,,1582981200
QUEENS,11416.0,40.682415,-73.84451,"(40.682415, -73.84451)",103 AVENUE                      ,95 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4367895,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,1605430800
BROOKLYN,11206.0,40.693924,-73.93577,"(40.693924, -73.93577)",,,375       PULASKI STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4420642,Sedan,,,,,1621677600
BROOKLYN,11207.0,40.67751,-73.8973,"(40.67751, -73.8973)",,,27        PENNSYLVANIA AVENUE           ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4277816,Box Truck,Station Wagon/Sport Utility Vehicle,Sedan,,,1579690800
BROOKLYN,11236.0,40.6441868,-73.9083974,"(40.6441868, -73.9083974)",,,1014      EAST 92 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4467301,Sedan,Station Wagon/Sport Utility Vehicle,,,,1634266800
QUEENS,11420.0,40.66643,-73.815384,"(40.66643, -73.815384)",NORTH CONDUIT AVENUE,125 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4482754,Sedan,,,,,1638375000
BROOKLYN,11226.0,40.644615,-73.962166,"(40.644615, -73.962166)",BEVERLEY ROAD,EAST 18 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4423122,Sedan,Garbage or Refuse,,,,1622702760
BROOKLYN,11212.0,,,,CHRISTOPHER AVE                 ,Riverdale ave,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4406903,Taxi,Sedan,,,,1618216200
