BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
QUEENS,11368.0,40.739414,-73.85766,"(40.739414, -73.85766)",,,101-15    MARTENSE AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4384447,Sedan,Sedan,Sedan,,,1610715600
BROOKLYN,11223.0,40.60009,-73.96591,"(40.60009, -73.96591)",AVENUE T                        ,OCEAN PARKWAY,,3,0,0,0,0,0,3,0,Fell Asleep,Unspecified,,,,4340917,Sedan,Sedan,,,,1598084940
QUEENS,11385.0,40.707333,-73.90336,"(40.707333, -73.90336)",,,66-11     FOREST AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4489624,Sedan,,,,,1639726200
QUEENS,11357.0,40.780224,-73.80255,"(40.780224, -73.80255)",FRANCIS LEWIS BOULEVARD,WILLETS POINT BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4421627,Station Wagon/Sport Utility Vehicle,Sedan,,,,1622333700
BRONX,10472.0,40.824665,-73.87826,"(40.824665, -73.87826)",,,1032      ELDER AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,4276070,Station Wagon/Sport Utility Vehicle,,,,,1579253400
BROOKLYN,11206.0,40.69772,-73.93451,"(40.69772, -73.93451)",,,24        JEFFERSON STREET              ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4279290,Sedan,Sedan,,,,1579914000
BRONX,10472.0,40.82842,-73.86068,"(40.82842, -73.86068)",WHITE PLAINS ROAD,WATSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4431293,Taxi,Sedan,,,,1624453320
BROOKLYN,11205.0,40.695034,-73.97619,"(40.695034, -73.97619)",,,100       NORTH PORTLAND AVENUE         ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4333387,,,,,,1596111600
BRONX,10473.0,40.81918,-73.879776,"(40.81918, -73.879776)",COLGATE AVENUE                  ,LAFAYETTE AVENUE,,1,0,0,0,0,0,1,0,Driver Inexperience,,,,,4325928,Station Wagon/Sport Utility Vehicle,,,,,1593920700
BROOKLYN,11214.0,40.61515,-74.00204,"(40.61515, -74.00204)",16 AVENUE,77 STREET,,2,0,0,0,0,0,2,0,Unspecified,,,,,4428237,Station Wagon/Sport Utility Vehicle,,,,,1623877200
BROOKLYN,11236.0,40.640568,-73.91391,"(40.640568, -73.91391)",FARRAGUT ROAD                   ,EAST 84 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4396689,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1615082400
BROOKLYN,11224.0,40.57475,-74.00174,"(40.57475, -74.00174)",MERMAID AVENUE                  ,WEST 36 STREET,,4,0,0,0,0,0,4,0,Outside Car Distraction,Unspecified,,,,4364053,Station Wagon/Sport Utility Vehicle,Sedan,,,,1604349900
BRONX,10453.0,40.8468783,-73.9206057,"(40.8468783, -73.9206057)",UNIVERSITY AVENUE,WEST 174 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4468351,Sedan,,,,,1634299680
BRONX,10454.0,40.803593,-73.919785,"(40.803593, -73.919785)",BRUCKNER BOULEVARD              ,SAINT ANNS AVENUE,,5,0,0,0,0,0,5,0,Unspecified,Unspecified,Unspecified,Unspecified,,4361092,Box Truck,Sedan,Sedan,Sedan,,1603578120
BROOKLYN,11217.0,40.68405,-73.97746,"(40.68405, -73.97746)",ATLANTIC AVENUE                 ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4349013,Sedan,Box Truck,,,,1600333800
QUEENS,11419.0,40.681923,-73.831924,"(40.681923, -73.831924)",109 STREET,107 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4458891,Station Wagon/Sport Utility Vehicle,Sedan,,,,1632055200
BROOKLYN,11237.0,40.6967,-73.91031,"(40.6967, -73.91031)",IRVING AVENUE                   ,PUTNAM AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407055,Sedan,Van,,,,1616773500
STATEN ISLAND,10312.0,40.532425,-74.192024,"(40.532425, -74.192024)",,,901       HUGUENOT AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4337298,Sedan,,,,,1596497400
MANHATTAN,10016.0,40.743862,-73.98534,"(40.743862, -73.98534)",,,31        EAST 28 STREET                ,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4315369,Station Wagon/Sport Utility Vehicle,,,,,1590216000
BROOKLYN,11205.0,40.690216,-73.96028,"(40.690216, -73.96028)",,,298       CLASSON AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4364925,Sedan,,,,,1604601900
BRONX,10473.0,40.81636,-73.86765,"(40.81636, -73.86765)",,,1669      RANDALL AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4336592,Sedan,Sedan,,,,1596859200
QUEENS,11413.0,40.66205,-73.74605,"(40.66205, -73.74605)",144 AVENUE                      ,232 STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4393088,Sedan,Sedan,,,,1613775600
BROOKLYN,11215.0,40.671783,-73.9742,"(40.671783, -73.9742)",8 AVENUE                        ,MONTGOMERY PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4294133,Pick-up Truck,Sedan,,,,1582732800
QUEENS,11385.0,40.709038,-73.89846,"(40.709038, -73.89846)",FRESH POND ROAD                 ,GATES AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4288649,Sedan,Sedan,,,,1581608700
BRONX,10469.0,40.872066,-73.85525,"(40.872066, -73.85525)",,,3225      BOSTON ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4429090,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1624038600
BRONX,10467.0,40.87151,-73.87057,"(40.87151, -73.87057)",BURKE AVENUE                    ,BRONX PARK EAST,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4361659,Sedan,Sedan,,,,1602620520
BROOKLYN,11236.0,40.64609,-73.89691,"(40.64609, -73.89691)",FLATLANDS AVENUE,EAST 102 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4411056,Sedan,,,,,1618914600
QUEENS,11412.0,40.704006,-73.7668,"(40.704006, -73.7668)",109 AVENUE                      ,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4357912,Station Wagon/Sport Utility Vehicle,Sedan,,,,1602690300
QUEENS,11413.0,40.665485,-73.75374,"(40.665485, -73.75374)",SOUTH CONDUIT AVENUE            ,224 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4286971,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,,,1581435900
BROOKLYN,11236.0,40.652878,-73.919815,"(40.652878, -73.919815)",,,9006      CHURCH AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4309479,Sedan,,,,,1587339600
QUEENS,11101.0,0.0,0.0,"(0.0, 0.0)",43 AVENUE                       ,34 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4405333,Sedan,Sedan,,,,1616748300
BROOKLYN,11203.0,40.653347,-73.929535,"(40.653347, -73.929535)",,,339       EAST 51 STREET                ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4347274,,,,,,1599939000
MANHATTAN,10040.0,40.86258,-73.925385,"(40.86258, -73.925385)",DYCKMAN STREET                  ,POST AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4400113,Box Truck,Pick-up Truck,,,,1616154300
BROOKLYN,11226.0,40.651016,-73.95587,"(40.651016, -73.95587)",,,2173      BEDFORD AVENUE                ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4323291,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,1593011580
BROOKLYN,11226.0,40.64802,-73.952194,"(40.64802, -73.952194)",ROGERS AVENUE,ALBEMARLE ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4426575,Sedan,Station Wagon/Sport Utility Vehicle,,,,1623361800
QUEENS,11364.0,40.753864,-73.74922,"(40.753864, -73.74922)",,,230-18    57 ROAD                       ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4351685,Sedan,Station Wagon/Sport Utility Vehicle,,,,1601065800
QUEENS,11375.0,40.730556,-73.844795,"(40.730556, -73.844795)",66 ROAD                         ,111 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4275628,Station Wagon/Sport Utility Vehicle,,,,,1579439700
BROOKLYN,11234.0,40.633556,-73.92027,"(40.633556, -73.92027)",,,5812      GLENWOOD ROAD                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4362282,Sedan,,,,,1603971000
BRONX,10462.0,,,,CASTLE HILL AVENUE              ,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4387137,Van,Station Wagon/Sport Utility Vehicle,,,,1611058200
BROOKLYN,11201.0,40.69754,-73.98312,"(40.69754, -73.98312)",GOLD STREET                     ,CONCORD STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4387311,Sedan,,,,,1611752100
BROOKLYN,11218.0,,,,OCEAN PARKWAY                   ,AVENUE C,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4360715,Sedan,Sedan,,,,1603217040
BROOKLYN,11207.0,40.670193,-73.88969,"(40.670193, -73.88969)",SUTTER AVENUE,VAN SICLEN AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4438418,Sedan,Sedan,,,,1626616200
BROOKLYN,11207.0,40.681606,-73.88796,"(40.681606, -73.88796)",,,98        WARWICK STREET                ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4359614,Pick-up Truck,Bike,,,,1602691200
QUEENS,11414.0,40.659645,-73.84869,"(40.659645, -73.84869)",84 STREET                       ,158 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4371363,Station Wagon/Sport Utility Vehicle,Sedan,,,,1606478400
QUEENS,11379.0,40.727837,-73.87471,"(40.727837, -73.87471)",,,84-40     60 DRIVE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,4321142,Sedan,,,,,1592362200
QUEENS,11423.0,40.70805,-73.7784,"(40.70805, -73.7784)",182 PLACE                       ,93 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4399373,Sedan,Sedan,,,,1615817340
BRONX,10456.0,40.83639,-73.91588,"(40.83639, -73.91588)",EAST 169 STREET,GRAND CONCOURSE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4442149,Sedan,Sedan,,,,1627731600
BROOKLYN,11216.0,40.678394,-73.94692,"(40.678394, -73.94692)",NEW YORK AVENUE                 ,ATLANTIC AVENUE,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,4395109,Sedan,Sedan,,,,1613608860
QUEENS,11413.0,40.67063,-73.75643,"(40.67063, -73.75643)",SPRINGFIELD BOULEVARD           ,141 ROAD,,1,0,0,0,0,0,1,0,Unspecified,,,,,4391209,Sedan,,,,,1612976400
MANHATTAN,10009.0,40.728474,-73.9757,"(40.728474, -73.9757)",EAST 14 STREET                  ,AVENUE C,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4374845,Bus,Sedan,,,,1607441400
BROOKLYN,11212.0,40.67045,-73.911896,"(40.67045, -73.911896)",,,55        CHESTER STREET,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,,4409961,Pick-up Truck,Sedan,Sedan,,,1615993200
BRONX,10453.0,40.861862,-73.91282,"(40.861862, -73.91282)",WEST FORDHAM ROAD               ,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4372546,Sedan,Sedan,,,,1606856760
QUEENS,11004.0,40.75333,-73.70682,"(40.75333, -73.70682)",,,270-05    76 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4405461,Sedan,,,,,1617753600
QUEENS,11414.0,40.64912,-73.83737,"(40.64912, -73.83737)",CROSS BAY BOULEVARD             ,165 AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4369067,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1605744000
QUEENS,11101.0,40.745983,-73.95301,"(40.745983, -73.95301)",,,46-35     VERNON BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4427855,Sedan,,,,,1623867600
BROOKLYN,11201.0,40.693867,-73.99921,"(40.693867, -73.99921)",FURMAN STREET                   ,JORALEMON STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4389416,Sedan,Sedan,,,,1612303800
QUEENS,11416.0,40.684734,-73.85112,"(40.684734, -73.85112)",90 STREET                       ,97 AVENUE,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4395950,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,1614770100
QUEENS,11378.0,,,,63RD Street                     ,BORDEN AVE,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4385895,Motorcycle,Station Wagon/Sport Utility Vehicle,,,,1610620800
BROOKLYN,11217.0,40.67864,-73.97352,"(40.67864, -73.97352)",FLATBUSH AVENUE,PROSPECT PLACE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4484263,Sedan,Bus,,,,1636219800
MANHATTAN,10026.0,40.801754,-73.94698,"(40.801754, -73.94698)",,,24        WEST 117 STREET,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4448118,Sedan,E-Scooter,,,,1629152340
BRONX,10466.0,40.886223,-73.82712,"(40.886223, -73.82712)",,,4127      BOSTON ROAD,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4418198,Station Wagon/Sport Utility Vehicle,Flat Bed,,,,1621340400
BROOKLYN,11233.0,40.679073,-73.92527,"(40.679073, -73.92527)",FULTON STREET,PATCHEN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4451490,Station Wagon/Sport Utility Vehicle,,,,,1629527100
BRONX,10471.0,40.90799,-73.90381,"(40.90799, -73.90381)",,,5977      RIVERDALE AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4463085,Sedan,,,,,1631088000
QUEENS,11428.0,40.723198,-73.73358,"(40.723198, -73.73358)",93 AVENUE,222 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4420034,Station Wagon/Sport Utility Vehicle,,,,,1621875840
BROOKLYN,11203.0,40.655334,-73.93077,"(40.655334, -73.93077)",UTICA AVENUE                    ,LENOX ROAD,,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,,,,4350946,Sedan,Pick-up Truck,,,,1600869300
QUEENS,11420.0,40.677654,-73.82866,"(40.677654, -73.82866)",,,110-00    ROCKAWAY BOULEVARD,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4432549,Sedan,,,,,1624993200
STATEN ISLAND,10301.0,40.63318,-74.09545,"(40.63318, -74.09545)",CASTLETON AVENUE                ,HAVENWOOD ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4347840,Sedan,Sedan,,,,1599349500
BRONX,10462.0,40.83483,-73.85946,"(40.83483, -73.85946)",,,1949      MCGRAW AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4408842,Station Wagon/Sport Utility Vehicle,,,,,1618849380
QUEENS,11417.0,40.675217,-73.843285,"(40.675217, -73.843285)",,,133-11    CROSS BAY BOULEVARD           ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4358653,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1602851520
BROOKLYN,11220.0,40.644863,-74.01748,"(40.644863, -74.01748)",3 AVENUE,55 STREET,,2,0,1,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4452932,Sedan,Sedan,Sedan,,,1630227000
MANHATTAN,10035.0,40.80192,-73.93417,"(40.80192, -73.93417)",,,2413A     2 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4415040,Station Wagon/Sport Utility Vehicle,,,,,1620474540
BRONX,10457.0,40.847028,-73.8980624,"(40.847028, -73.8980624)",EAST TREMONT AVENUE,WASHINGTON AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4467357,Station Wagon/Sport Utility Vehicle,,,,,1634296500
QUEENS,11423.0,40.713276,-73.76483,"(40.713276, -73.76483)",JAMAICA AVENUE                  ,195 PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4403995,Station Wagon/Sport Utility Vehicle,Sedan,,,,1617348180
BRONX,10473.0,40.823082,-73.86722,"(40.823082, -73.86722)",ROSEDALE AVENUE,STORY AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4462875,Sedan,,,,,1631715420
MANHATTAN,10037.0,40.812744,-73.937645,"(40.812744, -73.937645)",EAST 135 STREET                 ,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4372588,Station Wagon/Sport Utility Vehicle,Sedan,,,,1606608000
BROOKLYN,11228.0,40.62228,-74.010735,"(40.62228, -74.010735)",,,1150      BAY RIDGE PARKWAY,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,4441135,Station Wagon/Sport Utility Vehicle,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,1627411980
QUEENS,11694.0,40.58376,-73.82554,"(40.58376, -73.82554)",BEACH 104 STREET,ROCKAWAY FREEWAY,,1,0,0,0,1,0,0,0,Failure to Keep Right,Unspecified,,,,4458283,Sedan,Bike,,,,1631868540
BROOKLYN,11234.0,40.626457,-73.918,"(40.626457, -73.918)",RALPH AVENUE,AVENUE K,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,4403773,Sedan,Sedan,,,,1617229200
QUEENS,11368.0,40.737286,-73.85595,"(40.737286, -73.85595)",OTIS AVENUE,60 AVENUE,,2,0,0,0,0,0,2,0,Other Vehicular,Unspecified,,,,4471108,Sedan,Sedan,,,,1635240000
BROOKLYN,11237.0,40.698757,-73.91885,"(40.698757, -73.91885)",GREENE AVENUE,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4426653,Box Truck,Sedan,,,,1623602400
MANHATTAN,10002.0,40.713795,-73.99342,"(40.713795, -73.99342)",,,98        EAST BROADWAY                 ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4269784,Bike,Pick-up Truck,,,,1578237360
QUEENS,11422.0,40.665257,-73.739555,"(40.665257, -73.739555)",BROOKVILLE BOULEVARD            ,SOUTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4305093,Sedan,Station Wagon/Sport Utility Vehicle,,,,1585687800
STATEN ISLAND,10306.0,40.58037,-74.099525,"(40.58037, -74.099525)",,,2042      HYLAN BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,,,,4464025,Sedan,Sedan,,,,1633110180
BROOKLYN,11215.0,40.6758,-73.98742,"(40.6758, -73.98742)",,,338       3 AVENUE                      ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4323901,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1593068400
BRONX,10453.0,40.854973,-73.90396,"(40.854973, -73.90396)",MORRIS AVENUE                   ,EAST 181 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4365001,Sedan,,,,,1604620800
BROOKLYN,11205.0,40.690907,-73.95542,"(40.690907, -73.95542)",DE KALB AVENUE                  ,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4304952,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,1585567800
BROOKLYN,11221.0,40.687077,-73.92355,"(40.687077, -73.92355)",PUTNAM AVENUE,RALPH AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Following Too Closely,,,,4435738,Sedan,Bike,,,,1625766900
BRONX,10475.0,40.885952,-73.8279,"(40.885952, -73.8279)",BOSTON ROAD                     ,CONNER STREET,,0,0,0,0,0,0,0,0,Glare,Failure to Yield Right-of-Way,,,,4343805,Sedan,Pick-up Truck,,,,1598639400
BRONX,10475.0,40.88297,-73.82564,"(40.88297, -73.82564)",,,2310      TILLOTSON AVENUE              ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4396435,Station Wagon/Sport Utility Vehicle,Sedan,,,,1614681000
QUEENS,11421.0,40.696712,-73.85742,"(40.696712, -73.85742)",,,84-10     88 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4294492,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,1582826100
BROOKLYN,11206.0,40.70185,-73.9423,"(40.70185, -73.9423)",,,32        GRAHAM AVENUE                 ,1,0,1,0,0,0,0,0,Unspecified,,,,,4300992,Station Wagon/Sport Utility Vehicle,,,,,1583768100
BROOKLYN,11208.0,40.671604,-73.86907,"(40.671604, -73.86907)",BLAKE AVENUE                    ,CRESCENT STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,4312482,Sedan,Sedan,Sedan,Sedan,,1588947600
MANHATTAN,10001.0,40.74912,-74.00315,"(40.74912, -74.00315)",,,259       10 AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Passing Too Closely,,,,4480804,Sedan,Sedan,,,,1637844300
BRONX,10459.0,40.831158,-73.89144,"(40.831158, -73.89144)",,,1338      SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4330775,Station Wagon/Sport Utility Vehicle,Sedan,,,,1595358180
QUEENS,11358.0,40.76254,-73.80275,"(40.76254, -73.80275)",163 STREET                      ,CROCHERON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4354400,Station Wagon/Sport Utility Vehicle,,,,,1601724900
QUEENS,11413.0,40.687992,-73.74847,"(40.687992, -73.74847)",,,121-83    SPRINGFIELD BOULEVARD         ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4329675,Sedan,Sedan,,,,1595142900
QUEENS,11697.0,40.566864,-73.88589,"(40.566864, -73.88589)",,,27        PARK END TERRACE              ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4355837,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,1602147600
BROOKLYN,11219.0,40.633938,-74.00431,"(40.633938, -74.00431)",,,5816      FORT HAMILTON PARKWAY         ,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4346041,Sedan,Sedan,,,,1599215400
QUEENS,11379.0,40.722294,-73.86848,"(40.722294, -73.86848)",,,84-49     PENELOPE AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4309051,Sedan,Station Wagon/Sport Utility Vehicle,,,,1586885400
MANHATTAN,10022.0,40.762177,-73.96613,"(40.762177, -73.96613)",EAST 60 STREET                  ,3 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,,,,4297590,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1583342160
BRONX,10457.0,40.84497,-73.90247,"(40.84497, -73.90247)",WEBSTER AVENUE,ITTNER PLACE,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4432946,Sedan,,,,,1625106600
QUEENS,11435.0,40.713676,-73.82232,"(40.713676, -73.82232)",,,135-20    HOOVER AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4300109,Station Wagon/Sport Utility Vehicle,,,,,1584038640
BROOKLYN,11208.0,40.68541,-73.87274,"(40.68541, -73.87274)",RIDGEWOOD AVENUE                ,CRESCENT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4314679,Sedan,Sedan,,,,1589902560
MANHATTAN,10014.0,40.736965,-74.00735,"(40.736965, -74.00735)",,,30        BETHUNE STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4406771,Sedan,,,,,1617977100
BRONX,10472.0,40.83164,-73.876076,"(40.83164, -73.876076)",EAST 172 STREET                 ,STRATFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4276073,Station Wagon/Sport Utility Vehicle,Sedan,,,,1579172580
QUEENS,11101.0,40.75454,-73.9226,"(40.75454, -73.9226)",,,35-35     STEINWAY STREET               ,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Unspecified,,,4328643,Sedan,Sedan,Van,,,1594745040
MANHATTAN,10007.0,40.711994,-74.00811,"(40.711994, -74.00811)",BROADWAY                        ,BARCLAY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4347791,Sedan,Bike,,,,1599732000
BROOKLYN,11223.0,40.602226,-73.9725,"(40.602226, -73.9725)",,,2067      MC DONALD AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,4405705,Sedan,,,,,1617912600
BROOKLYN,11219.0,40.62826,-73.99915,"(40.62826, -73.99915)",61 STREET                       ,13 AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4280489,Sedan,Station Wagon/Sport Utility Vehicle,,,,1579367100
QUEENS,11360.0,40.781406,-73.778175,"(40.781406, -73.778175)",212 STREET                      ,23 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4303541,Sedan,Sedan,,,,1585035600
BRONX,10455.0,40.81597,-73.910774,"(40.81597, -73.910774)",,,607       WESTCHESTER AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,,,,,4386439,Sedan,,,,,1611493200
BROOKLYN,11203.0,40.651733,-73.93039,"(40.651733, -73.93039)",CHURCH AVENUE                   ,UTICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4390824,Station Wagon/Sport Utility Vehicle,,,,,1612639500
